Subject,downloadUrl,encodingFormat,type,má-podmínky-užití,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla
https://blank_Nodes_IRI.org/1008,https://www.gotobrno.cz/wp-content/uploads/2024/11/671b8ce61cf79.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1495,https://blank_Nodes_IRI.org/1496
https://blank_Nodes_IRI.org/129,https://www.gotobrno.cz/wp-content/uploads/2024/12/poezie-skutecnosti-small.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1502,https://blank_Nodes_IRI.org/1503
https://blank_Nodes_IRI.org/333,https://www.gotobrno.cz/wp-content/uploads/2017/06/sono-5.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1510,https://blank_Nodes_IRI.org/1511
https://blank_Nodes_IRI.org/909,https://www.gotobrno.cz/wp-content/uploads/2024/12/stazeny-soubor-1.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1516,https://blank_Nodes_IRI.org/1517
https://blank_Nodes_IRI.org/470,https://www.gotobrno.cz/wp-content/uploads/2019/03/mahenka.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1522,https://blank_Nodes_IRI.org/1523
https://blank_Nodes_IRI.org/1081,https://www.gotobrno.cz/wp-content/uploads/2024/10/yazz-ahmed-4-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1529,https://blank_Nodes_IRI.org/1530
https://blank_Nodes_IRI.org/647,https://www.gotobrno.cz/wp-content/uploads/2018/05/panorama_osmicky.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1535,https://blank_Nodes_IRI.org/1536
https://blank_Nodes_IRI.org/904,https://www.gotobrno.cz/wp-content/uploads/2024/10/v-orchestru-3.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1541,https://blank_Nodes_IRI.org/1542
https://blank_Nodes_IRI.org/564,https://www.gotobrno.cz/wp-content/uploads/2024/05/foto_1-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1546,https://blank_Nodes_IRI.org/1547
https://blank_Nodes_IRI.org/802,https://www.gotobrno.cz/wp-content/uploads/2020/01/akce2-800x600.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1549,https://blank_Nodes_IRI.org/1550
https://blank_Nodes_IRI.org/309,https://www.gotobrno.cz/wp-content/uploads/2024/10/66d82feb-92af-4f1a-9df8-146a08018def-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1555,https://blank_Nodes_IRI.org/1556
https://blank_Nodes_IRI.org/1076,https://www.gotobrno.cz/wp-content/uploads/2024/12/467655423_1369423904077029_2570668596417887028_n.jpeg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1561,https://blank_Nodes_IRI.org/1562
https://blank_Nodes_IRI.org/370,https://www.gotobrno.cz/wp-content/uploads/2024/10/51strun_067__wz63654-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1568,https://blank_Nodes_IRI.org/1569
https://blank_Nodes_IRI.org/73,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1576,https://blank_Nodes_IRI.org/1577
https://blank_Nodes_IRI.org/765,https://www.gotobrno.cz/wp-content/uploads/2024/11/467765451_9629163547190813_4119886037577896108_n.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1582,https://blank_Nodes_IRI.org/1583
https://blank_Nodes_IRI.org/981,https://www.gotobrno.cz/wp-content/uploads/2017/07/brno-panorama.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1588,https://blank_Nodes_IRI.org/1589
https://blank_Nodes_IRI.org/512,https://www.gotobrno.cz/wp-content/uploads/2022/06/medicus-orez.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1595,https://blank_Nodes_IRI.org/1596
https://blank_Nodes_IRI.org/540,https://www.gotobrno.cz/wp-content/uploads/2024/12/stazeny-soubor-1-1.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1601,https://blank_Nodes_IRI.org/1602
https://blank_Nodes_IRI.org/295,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1607,https://blank_Nodes_IRI.org/1608
https://blank_Nodes_IRI.org/864,https://www.gotobrno.cz/wp-content/uploads/2024/05/dsc_0068-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1613,https://blank_Nodes_IRI.org/1614
https://blank_Nodes_IRI.org/521,https://www.gotobrno.cz/wp-content/uploads/2019/03/0lb7643b-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1615,https://blank_Nodes_IRI.org/1616
https://blank_Nodes_IRI.org/797,https://www.gotobrno.cz/wp-content/uploads/2024/10/jiri-vodicka-gtb-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1621,https://blank_Nodes_IRI.org/1622
https://blank_Nodes_IRI.org/282,https://www.gotobrno.cz/wp-content/uploads/2024/12/photo-1-1-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1627,https://blank_Nodes_IRI.org/1628
https://blank_Nodes_IRI.org/273,https://www.gotobrno.cz/wp-content/uploads/2024/06/hrdza_08b1912-edit-2-3000x3000-1-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1633,https://blank_Nodes_IRI.org/1634
https://blank_Nodes_IRI.org/502,https://www.gotobrno.cz/wp-content/uploads/2024/12/masopust-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1640,https://blank_Nodes_IRI.org/1641
https://blank_Nodes_IRI.org/656,https://www.gotobrno.cz/wp-content/uploads/2018/06/19851.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1648,https://blank_Nodes_IRI.org/1649
https://blank_Nodes_IRI.org/151,https://www.gotobrno.cz/wp-content/uploads/2024/11/671b459543f13.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1655,https://blank_Nodes_IRI.org/1656
https://blank_Nodes_IRI.org/105,https://www.gotobrno.cz/wp-content/uploads/2021/04/brno-space-days.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1661,https://blank_Nodes_IRI.org/1662
https://blank_Nodes_IRI.org/498,https://www.gotobrno.cz/wp-content/uploads/2019/03/mahenka.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1668,https://blank_Nodes_IRI.org/1669
https://blank_Nodes_IRI.org/578,https://www.gotobrno.cz/wp-content/uploads/2024/10/mozartuv-efekt-1-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1674,https://blank_Nodes_IRI.org/1675
https://blank_Nodes_IRI.org/831,https://www.gotobrno.cz/wp-content/uploads/2024/11/671b8a3694e3f.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1680,https://blank_Nodes_IRI.org/1681
https://blank_Nodes_IRI.org/485,https://www.gotobrno.cz/wp-content/uploads/2019/06/spilberk-panorama-gabzdyl.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1685,https://blank_Nodes_IRI.org/1686
https://blank_Nodes_IRI.org/241,https://www.gotobrno.cz/wp-content/uploads/2024/09/rodinne-abonma-4.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1688,https://blank_Nodes_IRI.org/1689
