Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2128,http://www.w3.org/2004/02/skos/core#Concept,Země mimo Evropskou unii (28),Extra-European Union (28),1999-01-01,2128,Země mimo Evropskou unii (28),Extra-European Union (28),70,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/1999-01-01,http://www.w3.org/2004/02/skos/core#ConceptScheme,,,,"EKZONY,42",Ekonomické zóny,Economic zones,73,"""Ekonomické zóny, kód ČSÚ: 5581 (akronym: EKZONY)""","""Předmětem číselníku Ekonomické zóny jsou ekonomická uskupení světa, která jsou významná pro statistiku mezinárodního obchodu. Ekonomické zóny jsou součástí Klasifkace zemí (CZ-GEONOM). Dalšími částmi jsou Geonomenklatura (alfabetické kódy a názvy zemí a území světa) a Geografické zóny.
Klasifikace CZ-GEONOM byla zavedena sdělením ČSÚ. Od roku 2009 se aktualizace sdělením ČSÚ nezveřejňují, Geonomenklatura, jako část klasifikace CZ-GEONOM, je aktualizována na základě nařízení Komise (EU). Geografické a ekonomické zóny jsou aktualizovány na základě změnových souborů Eurostatu.
Klasifikace CZ-GEONOM  vychází z evropské předlohy „The nomenclature of countries and territories for the European statistics on international trade in goods and on the geographical breakdown for other business statistics (GEONOMECLATURE)“.""",,,,
https://blank_Nodes_IRI.org/0,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,1,2,,
https://blank_Nodes_IRI.org/1,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2004-01-01,
https://blank_Nodes_IRI.org/3,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/4,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/5,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/6,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,7,8,,
https://blank_Nodes_IRI.org/7,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2004-05-01,
https://blank_Nodes_IRI.org/8,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/9,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,10,11,,
https://blank_Nodes_IRI.org/10,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2003-01-01,
https://blank_Nodes_IRI.org/11,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/12,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,13,14,,
https://blank_Nodes_IRI.org/13,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2007-01-01,
https://blank_Nodes_IRI.org/15,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/14,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/16,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,17,18,,
https://blank_Nodes_IRI.org/17,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/18,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/19,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,20,21,,
https://blank_Nodes_IRI.org/20,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2007-01-01,
https://blank_Nodes_IRI.org/21,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/22,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,23,24,,
https://blank_Nodes_IRI.org/23,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,2008-01-01,
https://blank_Nodes_IRI.org/24,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/25,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,26,27,,
https://blank_Nodes_IRI.org/28,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,29,30,,
https://blank_Nodes_IRI.org/29,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/30,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/31,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,32,33,,
https://blank_Nodes_IRI.org/32,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/33,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,1999-01-01,
https://blank_Nodes_IRI.org/34,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,35,36,,
