duration (ms);size of RDF file (MB);conversion method;tables;first normal form;number of created CSVs;name of the original RDF file;date_time;time in parsing; time in converting; time in metadata; time in file write; time in zipping;;;#HODNOTA!;
22244;0.19461536407470703;basicQuery;one;false;1;dosle-zadosti-o-duchod-v-cr-r-n0-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_000928;455;1053;537;20193;6;;22244;0,907795361;
21931;0.10183143615722656;basicQuery;one;false;1;dosle-zadosti-o-duchod-v-cr-r-n0-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_001713;366;817;591;20151;6;;21931;0,91883635;
21758;0.10183143615722656;basicQuery;one;true;1;dosle-zadosti-o-duchod-v-cr-r-n1-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_001852;363;777;465;20147;6;;21758;0,925958268;
21372;0.10183143615722656;splitQuery;more;false;1;dosle-zadosti-o-duchod-v-cr-r-n0-t1-bez-dat-ktera-nejsou-v-CSV.trig;20250105_001949;353;450;395;20168;6;;21372;0,943664608;
21655;0.10183143615722656;splitQuery;more;true;1;dosle-zadosti-o-duchod-v-cr-r-n1-t1-bez-dat-ktera-nejsou-v-CSV.trig;20250105_002248;361;461;648;20172;13;;21655;0,931516971;
284;0.013074874877929688;basicQuery;one;false;1;prumerny-plat-v-cssz-r-n0-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_004032;-1085502;461;648;20172;1064505;;284;71,02816901;
279;0.013006210327148438;basicQuery;one;false;1;prumerny-plat-v-cssz-r-n0-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_004123;-1135981;461;648;20172;1114979;;279;72,30107527;
21061;0.013073921203613281;basicQuery;one;false;1;prumerny-plat-v-cssz-r-n0-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_004209;293;339;362;20061;6;;21061;0,952518874;
21160;0.013073921203613281;basicQuery;one;true;1;prumerny-plat-v-cssz-r-n1-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_004415;292;328;469;20064;7;;21160;0,948204159;
21157;0.013073921203613281;splitQuery;more;true;1;prumerny-plat-v-cssz-r-n1-t1-bez-dat-ktera-nejsou-v-CSV.trig;20250105_004458;291;323;474;20063;6;;21157;0,948291346;
44824;19.256916999816895;splitQuery;more;true;4;posudky-r-n1-t1.nt;20250105_012031;842;3255;13380;27268;79;;44824;0,608334821;
14163498;1211.7833776474;splitQuery;more;true;3;soilc_2021.nt;20250105_065555;40970;13519965;16333;575531;10699;;14163498;0,040634806;
;27005,00;0.001739501953125;splitQuery;more;true;2;typy-pracovních-vztahů.ttl;20250105_211508;313;322;6300;20060;10;26995;0,233376551;
36116;0.28653621673583984;splitQuery;more;true;3;nace-cz1.trig;20250105_213739;495;781;13719;21107;14;;36116;0,584422417;
28883;1.7299127578735352;splitQuery;more;true;10;soilc_2021_10k_triples.nt;20250105_214059;500;3118;1046;24173;46;;28883;0,836928297;
34533;1.7299127578735352;basicQuery;one;true;1;soilc_2021_10k_triples-r-n1-t0-bezParalelizace.nt;20250105_214341;508;6503;652;26821;49;;34533;0,776677381;
29327;1.7299127578735352;splitQuery;more;true;10;soilc_2021_10k_triples-r-n1-t1-bezParalelizace.nt;20250105_214609;501;3384;1151;24243;48;;29327;0,826644389;
43919;19.256916999816895;splitQuery;more;true;4;posudky-r-n1-t1-bezParalelizace.nt;20250105_215058;894;4354;11202;27391;78;;43919;0,623670849;
41488;19.256916999816895;splitQuery;more;true;4;posudky-r-n1-t1Paralelizace.nt;20250105_224158;856;3748;11289;25517;78;;41488;0,615045314;
39574;19.256916999816895;splitQuery;more;true;4;posudky-r-n1-t1Paralelizace.nt;20250105_224353;874;3424;9735;25463;78;;39574;0,643427503;
41055;19.256916999816895;splitQuery;more;true;4;posudky-r-n1-t1Paralelizace.nt;20250105_225259;878;3813;10779;25508;77;;41055;0,621312873;
40904;19.256916999816895;splitQuery;more;true;4;posudky-r-n1-t1Paralelizace.nt;20250105_232245;917;3514;10775;25620;78;;40904;0,626344612;
97735;19.256916999816895;basicQuery;one;true;1;posudky-r-n1-t0-bezParalelizace.nt;20250105_232759;974;50299;12140;34236;86;;97735;0,350294163;
95325;19.256916999816895;basicQuery;one;true;1;posudky-r-n1-t0-bezParalelizace.nt;20250105_233058;962;50021;9992;34266;84;;95325;0,359464988;
