https://blank_Nodes_IRI.org/2098,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1679,1.661250599999994E1,https://blank_Nodes_IRI.org/2099
https://blank_Nodes_IRI.org/2099,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1687,1.6608123E1,https://blank_Nodes_IRI.org/2100
https://blank_Nodes_IRI.org/2100,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1693,1.659474280463354E1,https://blank_Nodes_IRI.org/2101
https://blank_Nodes_IRI.org/2101,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1699,1.66002141012E1,https://blank_Nodes_IRI.org/2104
https://blank_Nodes_IRI.org/2104,4.92034664492E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1706,1.660416239999995E1,https://blank_Nodes_IRI.org/2105
https://blank_Nodes_IRI.org/2105,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1714,1.66134713E1,https://blank_Nodes_IRI.org/2106
https://blank_Nodes_IRI.org/2106,4.91961952E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1720,1.661104820000003E1,https://blank_Nodes_IRI.org/2107
https://blank_Nodes_IRI.org/2107,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1728,1.660416239999995E1,https://blank_Nodes_IRI.org/2108
https://blank_Nodes_IRI.org/2108,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1734,1.661369579999996E1,https://blank_Nodes_IRI.org/2109
https://blank_Nodes_IRI.org/2109,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1735,1.659253924338304E1,https://blank_Nodes_IRI.org/2110
https://blank_Nodes_IRI.org/2110,4.920410164688873E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1741,1.661104820000003E1,https://blank_Nodes_IRI.org/2111
https://blank_Nodes_IRI.org/2111,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1747,1.661104820000003E1,https://blank_Nodes_IRI.org/2112
https://blank_Nodes_IRI.org/2112,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1753,1.658110265149472E1,https://blank_Nodes_IRI.org/2113
https://blank_Nodes_IRI.org/2113,4.920249214937198E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1761,1.6608123E1,https://blank_Nodes_IRI.org/2114
https://blank_Nodes_IRI.org/2114,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1767,1.660942699999998E1,https://blank_Nodes_IRI.org/2115
https://blank_Nodes_IRI.org/2115,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1773,1.661101357463185E1,https://blank_Nodes_IRI.org/2116
https://blank_Nodes_IRI.org/2116,4.919630027438166E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1780,1.661104820000003E1,https://blank_Nodes_IRI.org/2117
https://blank_Nodes_IRI.org/2117,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1788,1.66265280556E1,https://blank_Nodes_IRI.org/2118
https://blank_Nodes_IRI.org/2118,4.92020922222E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1794,1.66134713E1,https://blank_Nodes_IRI.org/2120
https://blank_Nodes_IRI.org/2120,4.91961952E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1800,1.660846337578698E1,https://blank_Nodes_IRI.org/2121
https://blank_Nodes_IRI.org/2121,4.919334977786223E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1806,1.658144319999997E1,https://blank_Nodes_IRI.org/2122
https://blank_Nodes_IRI.org/2122,4.922815740000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1807,1.66109571E1,https://blank_Nodes_IRI.org/2123
https://blank_Nodes_IRI.org/2123,4.91982801E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1813,1.661250599999994E1,https://blank_Nodes_IRI.org/2124
https://blank_Nodes_IRI.org/2124,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1819,1.6608123E1,https://blank_Nodes_IRI.org/2125
https://blank_Nodes_IRI.org/2125,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1827,1.661369579999996E1,https://blank_Nodes_IRI.org/2126
https://blank_Nodes_IRI.org/2126,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1833,1.6608123E1,https://blank_Nodes_IRI.org/2127
https://blank_Nodes_IRI.org/2127,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1839,1.661369579999996E1,https://blank_Nodes_IRI.org/2128
https://blank_Nodes_IRI.org/2128,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1846,1.659903824329376E1,https://blank_Nodes_IRI.org/2129
https://blank_Nodes_IRI.org/2129,4.919440236570821E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1854,1.661104820000003E1,https://blank_Nodes_IRI.org/2130
https://blank_Nodes_IRI.org/2130,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1860,1.659452698968812E1,https://blank_Nodes_IRI.org/2131
https://blank_Nodes_IRI.org/2131,4.919189607213494E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1866,1.661369579999996E1,https://blank_Nodes_IRI.org/2132
https://blank_Nodes_IRI.org/2132,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1872,1.660457726155454E1,https://blank_Nodes_IRI.org/2133
https://blank_Nodes_IRI.org/2133,4.919962603373218E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1873,1.661104820000003E1,https://blank_Nodes_IRI.org/2134
https://blank_Nodes_IRI.org/2134,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1879,1.6608123E1,https://blank_Nodes_IRI.org/2137
https://blank_Nodes_IRI.org/2137,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1885,1.660942699999998E1,https://blank_Nodes_IRI.org/2138
https://blank_Nodes_IRI.org/2138,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1893,1.661369579999996E1,https://blank_Nodes_IRI.org/2139
